entity,period,cohort,introduced_commit,original_outcome,three_category_outcome,borderline_branch_outcome,current_master_outcome,outcome_changed_on_borderline_branch,record_level_source,coding_rubric,independent_coders
徳川日本,AD1603-AD1868,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ムガル帝国（後期）,AD1700-AD1857,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
サファヴィー朝ペルシア,AD1501-AD1736,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
インカ帝国,AD1438-AD1533,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
アステカ帝国,AD1428-AD1521,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ポルトガル帝国,AD1415-AD1580,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
オランダ共和国,AD1581-AD1795,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
スペイン帝国,AD1492-AD1808,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ムガル帝国（前期）,AD1526-AD1700,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
大英帝国,AD1815-AD1945,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
米国（モンロー主義期）,AD1823-AD1898,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
明治〜大正日本,AD1868-AD1930,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
エチオピア帝国,AD1855-AD1936,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
シャム（タイ）,AD1782-AD1932,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
スイス,AD1815-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
1930s日本（大東亜共栄圏）,AD1930-AD1945,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ナチスドイツ,AD1933-AD1945,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ファシストイタリア,AD1922-AD1943,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ソ連,AD1922-AD1991,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
東ドイツ,AD1949-AD1990,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ユーゴスラビア,AD1945-AD1992,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
英国帝国特恵制度,AD1932-AD1960,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
米国（戦後〜冷戦期）,AD1945-AD1991,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
戦後日本（高度成長期）,AD1945-AD1990,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
シンガポール,AD1965-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
韓国,AD1961-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
北朝鮮,AD1948-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
キューバ,AD1959-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
現代日本,AD1990-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
現代中国,AD1978-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
現代ロシア,AD1991-AD現在,initial_54,f3309fd92ba79a6b1cff50a9c215edf0364eea88,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
マケドニア王国（アレクサンドロス後）,BC323-BC168,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
セレウコス朝シリア,BC312-BC63,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
パルティア,BC247-AD224,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ササン朝ペルシア,AD224-AD651,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
クシャーナ朝,AD30-AD375,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
グプタ朝インド,AD320-AD550,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
唐朝中国,AD618-AD907,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ウマイヤ朝,AD661-AD750,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,disrupted,overtaken,True,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
高麗,AD918-AD1392,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
クメール帝国（アンコール）,AD802-AD1431,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
シュリーヴィジャヤ,AD650-AD1377,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
マジャパヒト王国,AD1293-AD1527,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
キエフ大公国,AD882-AD1240,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ジェノヴァ共和国,AD1099-AD1797,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
マリ帝国,AD1235-AD1600,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
元朝中国,AD1271-AD1368,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ティムール朝,AD1370-AD1507,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
琉球王国,AD1429-AD1879,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ポーランド・リトアニア共和国,AD1569-AD1795,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
スウェーデン帝国,AD1611-AD1721,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ロシア帝国（ピョートル後）,AD1721-AD1917,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
清朝中国（中期・交易拡大期）,AD1750-AD1830,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ハワイ王国,AD1795-AD1893,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ズールー王国,AD1816-AD1897,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ビルマ（コンバウン朝）,AD1752-AD1885,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
オーストリア＝ハンガリー帝国,AD1867-AD1918,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ベルギー,AD1830-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
デンマーク,AD1849-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ナポレオン帝国,AD1804-AD1815,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
大韓帝国,AD1897-AD1910,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
満州国,AD1932-AD1945,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
南ベトナム,AD1955-AD1975,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,overtaken,overtaken,overtaken,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
チェコスロバキア（共産期）,AD1948-AD1989,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ポーランド（共産期）,AD1947-AD1989,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ルーマニア（共産期）,AD1947-AD1989,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,conquered,disrupted,disrupted,disrupted,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
台湾,AD1949-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
イスラエル,AD1948-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
UAE,AD1971-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
現代インド,AD1991-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
イラン（イスラム共和国）,AD1979-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
ミャンマー（軍政期〜現在）,AD1962-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
トルクメニスタン,AD1991-AD現在,power_target_addition_42,e268fdac4f4fa339a903df5a687522c9e9a88359,survived,survived,survived,survived,False,not_present_in_data.py_or_session_log,not_present_in_repository_or_session_log,not_documented
